Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Quantity,Sales,Profit Margin,Delivery Days
Office Supplies,Midland,United States,John Huston,Avery,2020-05-19,US-2020-107699,48640,Avery Heavy-Duty EZD View Binder with Locking Rings,Central,Consumer,2020-05-23,Standard Class,Michigan,Binders,No discount,26.4132,9,57.42,0.46,4
Office Supplies,Virginia Beach,United States,Tamara Dahlen,Acme,2020-05-19,US-2020-130155,23464,Acme Design Stainless Steel Bent Scissors,South,Consumer,2020-05-22,First Class,Virginia,Supplies,No discount,9.234,5,34.2,0.27,3
Furniture,Dover,United States,Randy Ferguson,Other,2020-05-20,US-2020-114188,3820,24-Hour Round Wall Clock,East,Corporate,2020-05-22,Second Class,New Hampshire,Furnishings,No discount,60.1398,7,139.86,0.43,2
Furniture,San Marcos,United States,Matt Collister,Other,2020-05-20,US-2020-130673,78666,Contemporary Borderless Frame,Central,Corporate,2020-05-22,Second Class,Texas,Furnishings,0.6,-5.9409,3,10.332,-0.57,2
Furniture,Vancouver,Canada,Chuck Clark,Global,2020-05-20,CA-2020-166695,V6Z,"Global Geo Office Task Chair, Gray",West,Home Office,2020-05-24,Standard Class,British Columbia,Chairs,0.2,-97.18,8,518.27,-0.19,4
Furniture,Houston,United States,Katherine Hughes,Global,2020-05-21,US-2020-127166,77070,Global Deluxe Steno Chair,Central,Consumer,2020-05-23,Second Class,Texas,Chairs,0.3,-29.2524,2,107.772,-0.27,2
Office Supplies,Lawrence,United States,Frank Gastineau,Belkin,2020-05-21,US-2020-152443,1841,Belkin 8 Outlet Surge Protector,East,Home Office,2020-05-26,Standard Class,Massachusetts,Appliances,No discount,68.8464,6,245.88,0.28,5
Office Supplies,San Diego,United States,Bradley Talbott,Other,2020-05-21,US-2020-104780,92037,4009 Highlighters by Sanford,West,Home Office,2020-05-25,Standard Class,California,Art,No discount,10.5072,8,31.84,0.33,4
Office Supplies,Virginia Beach,United States,Mitch Willingham,Fellowes,2020-05-21,US-2020-117639,23464,Fellowes PB300 Plastic Comb Binding Machine,South,Corporate,2020-05-25,Standard Class,Virginia,Binders,No discount,1276.4871,7,2715.93,0.47,4
Office Supplies,Montreal,Canada,Frank Gastineau,Belkin,2020-05-21,CA-2020-152443,H1A,Belkin 8 Outlet Surge Protector,East,Home Office,2020-05-26,Standard Class,Quebec,Appliances,No discount,68.8464,6,245.88,0.28,5
Technology,Decatur,United States,Evan Henry,Nortel,2020-05-22,US-2020-143840,35601,Nortel Networks T7316 E Nt8 B27,South,Consumer,2020-05-29,Standard Class,Alabama,Phones,No discount,33.995,2,135.98,0.25,7
Office Supplies,New York City,United States,Greg Tran,Other,2020-05-23,US-2020-135881,10035,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",East,Consumer,2020-05-27,Standard Class,New York,Appliances,No discount,56.2032,1,208.16,0.27,4
Office Supplies,Philadelphia,United States,Andrew Roberts,Newell,2020-05-23,US-2020-105767,19134,Newell 317,East,Consumer,2020-05-27,Standard Class,Pennsylvania,Art,0.2,2.3814,9,21.168,0.11,4
Office Supplies,Bellevue,United States,Erica Hackney,Xerox,2020-05-23,US-2020-138513,98006,Xerox 1999,West,Consumer,2020-05-27,Standard Class,Washington,Paper,No discount,6.2208,2,12.96,0.48,4
Office Supplies,Baltimore,United States,Resi Pölking,Xerox,2020-05-24,US-2020-143413,21215,Xerox 1944,East,Consumer,2020-05-30,Standard Class,Maryland,Paper,No discount,56.9772,3,116.28,0.49,6
Furniture,Chicago,United States,Janet Lee,Electrix,2020-05-25,US-2020-130379,60623,"Electrix Incandescent Magnifying Lamp, Black",Central,Consumer,2020-05-29,Standard Class,Illinois,Furnishings,0.6,-24.189,2,29.32,-0.82,4
Office Supplies,New York City,United States,Barry Weirich,Strathmore,2020-05-25,US-2020-100391,10035,Strathmore Photo Frame Cards,East,Consumer,2020-05-29,Standard Class,New York,Paper,No discount,6.7252,2,14.62,0.46,4
Furniture,Los Angeles,United States,Marina Lichtenstein,Sauder,2020-05-26,US-2020-156349,90008,Sauder Inglewood Library Bookcases,West,Corporate,2020-05-30,Standard Class,California,Bookcases,0.15,27.3568,2,290.666,0.09,4
Furniture,Los Angeles,United States,Herbert Flentye,Hon,2020-05-26,US-2020-158029,90008,Hon Olson Stacker Stools,West,Consumer,2020-05-30,Standard Class,California,Chairs,0.2,22.5296,2,225.296,0.1,4
Furniture,Chicago,United States,Michelle Moray,Global,2020-05-26,US-2020-144029,60623,Global Commerce Series Low-Back Swivel/Tilt Chairs,Central,Consumer,2020-05-31,Standard Class,Illinois,Chairs,0.3,-5.1396,2,359.772,-0.01,5
Office Supplies,Murray,United States,Dean percer,Wirebound,2020-05-26,US-2020-129574,84107,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Home Office,2020-05-29,First Class,Utah,Paper,No discount,23.232,5,48.4,0.48,3
Furniture,San Diego,United States,Maya Herman,KI,2020-05-27,US-2020-124429,92105,KI Conference Tables,West,Corporate,2020-05-27,Same Day,California,Tables,0.2,-28.356,10,567.12,-0.05,0
Office Supplies,Chicago,United States,Laurel Elliston,Fellowes,2020-05-27,US-2020-117058,60653,Fellowes Presentation Covers for Comb Binding Machines,Central,Consumer,2020-05-30,First Class,Illinois,Binders,0.8,-30.555,6,17.46,-1.75,3
Technology,San Francisco,United States,Lena Creighton,Logitech,2020-05-27,US-2020-139192,94109,Logitech Wireless Performance Mouse MX for PC and Mac,West,Consumer,2020-06-01,Second Class,California,Accessories,No discount,37.9962,1,99.99,0.38,5
Office Supplies,Seattle,United States,Magdelene Morse,Other,2020-05-28,US-2020-108861,98105,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",West,Consumer,2020-06-01,Standard Class,Washington,Binders,0.2,51.36,4,136.96,0.38,4
Technology,Seattle,United States,Patrick Jones,Imation,2020-05-28,US-2020-135993,98115,Imation 30456 USB Flash Drive 8GB,West,Corporate,2020-06-02,Standard Class,Washington,Accessories,No discount,2.208,4,27.6,0.08,5
Furniture,Buffalo Grove,United States,Shahid Shariari,Chromcraft,2020-05-30,US-2020-145800,60089,Chromcraft Rectangular Conference Tables,Central,Consumer,2020-06-05,Standard Class,Illinois,Tables,0.5,-184.8366,3,355.455,-0.52,6
Office Supplies,New York City,United States,Laurel Workman,Honeywell,2020-05-30,US-2020-103429,10024,Honeywell Quietcare HEPA Air Cleaner,East,Corporate,2020-06-01,First Class,New York,Appliances,No discount,77.8635,3,235.95,0.33,2
Office Supplies,New York City,United States,James Galang,Wilson Jones,2020-05-30,US-2020-105872,10024,Wilson Jones Legal Size Ring Binders,East,Consumer,2020-06-06,Standard Class,New York,Binders,0.2,26.388,4,70.368,0.38,7
Office Supplies,Richmond,United States,Ellis Ballard,Ampad,2020-05-30,US-2020-146885,23223,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",South,Corporate,2020-06-05,Standard Class,Virginia,Paper,No discount,6.129,3,13.62,0.45,6
Technology,Chicago,United States,Mark Cousins,Brother,2020-05-30,US-2020-140473,60623,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Central,Corporate,2020-06-03,Standard Class,Illinois,Copiers,0.2,134.9955,3,719.976,0.19,4
Technology,Jackson,United States,Jim Karlsson,Grandstream,2020-05-31,US-2020-166051,39212,Grandstream GXP1160 VoIP phone,South,Consumer,2020-06-05,Standard Class,Mississippi,Phones,No discount,32.9817,3,113.73,0.29,5
Furniture,Lakeville,United States,Dianna Wilson,Global,2020-06-01,US-2020-131926,55044,Global Deluxe High-Back Manager's Chair,Central,Home Office,2020-06-06,Second Class,Minnesota,Chairs,No discount,580.5394,7,2001.86,0.29,5
Furniture,Little Rock,United States,Liz Thompson,3M,2020-06-01,US-2020-165659,72209,3M Hangers With Command Adhesive,South,Consumer,2020-06-06,Standard Class,Arkansas,Furnishings,No discount,9.102,6,22.2,0.41,5
Office Supplies,Detroit,United States,Quincy Jones,Acco,2020-06-01,US-2020-157070,48234,Acco 6 Outlet Guardian Premium Surge Suppressor,Central,Corporate,2020-06-06,Standard Class,Michigan,Appliances,0.1,12.376,5,65.52,0.19,5
Office Supplies,Lakewood,United States,Corey Roper,Boston,2020-06-01,US-2020-111003,8701,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,East,Home Office,2020-06-06,Standard Class,New Jersey,Art,No discount,83.868,6,289.2,0.29,5
Furniture,Orem,United States,Christine Kargatis,Other,2020-06-02,US-2020-104472,84057,Aluminum Document Frame,West,Home Office,2020-06-07,Standard Class,Utah,Furnishings,No discount,21.996,6,73.32,0.3,5
Office Supplies,Roswell,United States,Stewart Visinsky,Sanford,2020-06-02,US-2020-100895,30076,"Sanford Colorific Scented Colored Pencils, 12/Pack",South,Consumer,2020-06-06,Standard Class,Georgia,Art,No discount,2.6536,2,8.56,0.31,4
Furniture,Decatur,United States,Richard Eichhorn,Other,2020-06-03,US-2020-163867,62521,"Contract Clock, 14"", Brown",Central,Consumer,2020-06-06,First Class,Illinois,Furnishings,0.6,-40.0036,7,61.544,-0.65,3
Furniture,Seattle,United States,Steven Cartwright,KI,2020-06-03,US-2020-135657,98115,KI Adjustable-Height Table,West,Consumer,2020-06-07,Second Class,Washington,Tables,No discount,113.4936,6,515.88,0.22,4
Office Supplies,Midland,United States,Ross Baird,Other,2020-06-03,US-2020-141299,48640,Security-Tint Envelopes,Central,Home Office,2020-06-07,Second Class,Michigan,Envelopes,No discount,7.4872,2,15.28,0.49,4
Furniture,New York City,United States,Bobby Trafton,O'Sullivan,2020-06-04,US-2020-151946,10035,O'Sullivan Living Dimensions 5-Shelf Bookcases,East,Consumer,2020-06-09,Standard Class,New York,Bookcases,0.2,-44.196,2,353.568,-0.12,5
Office Supplies,Columbus,United States,Mark Packer,Easy-staple paper,2020-06-04,US-2020-147914,43229,Easy-staple paper,East,Home Office,2020-06-09,Standard Class,Ohio,Paper,0.2,5.8812,2,16.224,0.36,5
Furniture,Long Beach,United States,Grant Thornton,Chromcraft,2020-06-06,US-2020-159520,11561,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",East,Corporate,2020-06-11,Standard Class,New York,Tables,0.4,-347.1174,3,991.764,-0.35,5
Office Supplies,Rochester,United States,Bryan Mills,Sanford,2020-06-06,US-2020-133270,14609,Sanford Liquid Accent Highlighters,East,Consumer,2020-06-09,First Class,New York,Art,No discount,4.9432,2,13.36,0.37,3
Office Supplies,Jacksonville,United States,Stewart Visinsky,Other,2020-06-06,US-2020-169257,32216,Presstex Flexible Ring Binders,South,Consumer,2020-06-12,Standard Class,Florida,Binders,0.7,-0.91,1,1.365,-0.67,6
Office Supplies,Chicago,United States,Sarah Bern,Avery,2020-06-06,US-2020-161305,60623,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Central,Consumer,2020-06-12,Standard Class,Illinois,Binders,0.8,-38.1114,3,24.588,-1.55,6
Office Supplies,Houston,United States,Valerie Takahito,Other,2020-06-06,US-2020-151897,77070,Round Specialty Laser Printer Labels,Central,Home Office,2020-06-10,Standard Class,Texas,Labels,0.2,33.831,10,100.24,0.34,4
Furniture,Aurora,United States,Nick Radford,Bevis,2020-06-07,US-2020-106229,60505,"Bevis Round Conference Table Top, X-Base",Central,Consumer,2020-06-11,Second Class,Illinois,Tables,0.5,-209.7693,3,268.935,-0.78,4
Office Supplies,Peoria,United States,Bart Pistole,Wilson Jones,2020-06-07,US-2020-134971,61604,Wilson Jones Century Plastic Molded Ring Binders,Central,Corporate,2020-06-10,Second Class,Illinois,Binders,0.8,-20.5623,3,12.462,-1.65,3
Furniture,Bristol,United States,Katrina Edelman,Other,2020-06-08,US-2020-109162,37620,"Situations Contoured Folding Chairs, 4/Set",South,Corporate,2020-06-12,Standard Class,Tennessee,Chairs,0.2,10.647,3,170.352,0.06,4
Furniture,Seattle,United States,Carlos Soltero,Hon,2020-06-08,US-2020-141257,98115,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",West,Consumer,2020-06-14,Standard Class,Washington,Chairs,0.2,73.194,3,585.552,0.12,6
Office Supplies,Long Beach,United States,Rick Duston,Other,2020-06-08,US-2020-108147,11561,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",East,Consumer,2020-06-13,Standard Class,New York,Binders,0.2,25.68,2,68.48,0.38,5
Furniture,Los Angeles,United States,Brosina Hoffman,Eldon,2020-06-09,US-2020-115812,90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,Consumer,2020-06-14,Standard Class,California,Furnishings,No discount,14.1694,7,48.86,0.29,5
Furniture,North Las Vegas,United States,Thomas Seio,Executive Impressions,2020-06-09,US-2020-160262,89031,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",West,Corporate,2020-06-13,Second Class,Nevada,Furnishings,No discount,14.212,2,37.4,0.38,4
Furniture,Harrisonburg,United States,Frank Olsen,Bevis,2020-06-09,US-2020-132612,22801,Bevis 44 x 96 Conference Tables,South,Consumer,2020-06-11,Second Class,Virginia,Tables,No discount,245.021,7,1441.3,0.17,2
Office Supplies,Huntsville,United States,Carl Weiss,Boston,2020-06-09,US-2020-133753,77340,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Central,Home Office,2020-06-13,Second Class,Texas,Art,0.2,6.1572,2,70.368,0.09,4
Office Supplies,San Francisco,United States,Chuck Magee,Other,2020-06-09,US-2020-133851,94122,Deluxe Chalkboard Eraser Cleaner,West,Consumer,2020-06-16,Standard Class,California,Art,No discount,10.626,2,23.1,0.46,7
Office Supplies,Detroit,United States,Heather Kirkland,Other,2020-06-10,US-2020-144281,48234,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Central,Corporate,2020-06-15,Second Class,Michigan,Labels,No discount,240.8595,5,491.55,0.49,5
Office Supplies,Los Angeles,United States,Filia McAdams,Staples in misc. colors,2020-06-13,US-2020-114643,90032,Staples in misc. colors,West,Corporate,2020-06-17,Standard Class,California,Art,No discount,4.7916,3,14.52,0.33,4
Furniture,Detroit,United States,Sharelle Roach,Hon,2020-06-14,US-2020-140487,48234,"Hon Metal Bookcases, Gray",Central,Home Office,2020-06-20,Standard Class,Michigan,Bookcases,No discount,57.4938,3,212.94,0.27,6
Furniture,San Antonio,United States,Kelly Lampkin,Global,2020-06-15,US-2020-141215,78207,Global Commerce Series High-Back Swivel/Tilt Chairs,Central,Corporate,2020-06-21,Standard Class,Texas,Chairs,0.3,-56.996,4,797.944,-0.07,6
Office Supplies,El Paso,United States,Pamela Stobb,Xerox,2020-06-15,US-2020-126963,79907,Xerox 1902,Central,Consumer,2020-06-15,Same Day,Texas,Paper,0.2,11.8768,2,36.544,0.32,0
Furniture,Mishawaka,United States,Sonia Cooley,Global,2020-06-16,US-2020-136644,46544,"Global Geo Office Task Chair, Gray",Central,Consumer,2020-06-22,Standard Class,Indiana,Chairs,No discount,32.392,8,647.84,0.05,6
Office Supplies,Hempstead,United States,Chloris Kastensmidt,Boston,2020-06-16,US-2020-113929,11550,Boston 16750 Black Compact Battery Pencil Sharpener,East,Consumer,2020-06-21,Standard Class,New York,Art,No discount,10.5,4,35.0,0.3,5
Furniture,Seattle,United States,Gary Hwang,Eldon,2020-06-17,US-2020-144414,98105,Eldon Wave Desk Accessories,West,Consumer,2020-06-21,Standard Class,Washington,Furnishings,No discount,2.6208,3,6.24,0.42,4
Office Supplies,Chicago,United States,Jennifer Ferguson,Xerox,2020-06-17,US-2020-156342,60653,Xerox 1892,Central,Consumer,2020-06-20,Second Class,Illinois,Paper,0.2,22.4808,2,62.016,0.36,3
Technology,Newark,United States,Duane Benoit,Texas Instruments,2020-06-17,US-2020-104402,19711,Texas Instruments TI-34 Scientific Calculator,East,Consumer,2020-06-23,Standard Class,Delaware,Machines,No discount,31.0059,3,65.97,0.47,6
Technology,Los Angeles,United States,Mick Crebagga,Plantronics,2020-06-18,US-2020-123855,90036,Plantronics Cordless Phone Headset with In-line Volume - M214C,West,Consumer,2020-06-23,Standard Class,California,Phones,0.2,12.2325,5,139.8,0.09,5
Office Supplies,Halifax,Canada,Neil Cohen,Xerox,2020-06-18,CA-2020-184712,B3H,Xerox 1925,East,Home Office,2020-06-20,Second Class,Nova Scotia,Paper,0.2,23.235,3,74.352,0.31,2
Furniture,Plano,United States,Sam Craven,Hon,2020-06-20,US-2020-166863,75023,"Hon Metal Bookcases, Black",Central,Consumer,2020-06-24,Standard Class,Texas,Bookcases,0.32,-19.8744,4,193.0656,-0.1,4
Office Supplies,Lawton,United States,Corey-Lock,Honeywell,2020-06-20,US-2020-112949,73505,Honeywell Quietcare HEPA Air Cleaner,Central,Consumer,2020-06-27,Standard Class,Oklahoma,Appliances,No discount,155.727,6,471.9,0.33,7
Furniture,Philadelphia,United States,Natalie Webber,Other,2020-06-21,US-2020-138317,19120,Stacking Trays by OIC,East,Consumer,2020-06-25,Standard Class,Pennsylvania,Furnishings,0.2,0.6474,1,3.984,0.16,4
Furniture,Waynesboro,United States,Naresj Patel,Luxo,2020-06-21,US-2020-117135,22980,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,South,Consumer,2020-06-23,Second Class,Virginia,Furnishings,No discount,14.5614,1,104.01,0.14,2
Office Supplies,New York City,United States,Toby Braunhardt,Holmes,2020-06-21,US-2020-130624,10024,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",East,Consumer,2020-06-24,First Class,New York,Appliances,No discount,26.865,3,59.7,0.45,3
Office Supplies,Lakewood,United States,Dave Brooks,Other,2020-06-21,US-2020-128146,8701,"OIC #2 Pencils, Medium Soft",East,Consumer,2020-06-25,Standard Class,New Jersey,Art,No discount,1.0904,2,3.76,0.29,4
Office Supplies,Meriden,United States,Raymond Messe,Newell,2020-06-21,US-2020-141278,6450,Newell 341,East,Consumer,2020-06-24,First Class,Connecticut,Art,No discount,6.206,5,21.4,0.29,3
Office Supplies,Pueblo,United States,Stewart Visinsky,Wilson Jones,2020-06-21,US-2020-160780,81001,"Wilson Jones 1"" Hanging DublLock Ring Binders",West,Consumer,2020-06-21,Same Day,Colorado,Binders,0.7,-8.1312,7,11.088,-0.73,0
Technology,Long Beach,United States,James Galang,Polycom,2020-06-21,US-2020-141796,11561,Polycom SoundStation2 EX Conference phone,East,Consumer,2020-06-21,Same Day,New York,Phones,No discount,352.3065,3,1214.85,0.29,0
Furniture,Chester,United States,Anna Andreadi,Hon,2020-06-22,US-2020-154963,19013,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",East,Consumer,2020-06-27,Standard Class,Pennsylvania,Chairs,0.3,0.0,5,853.93,0.0,5
Office Supplies,Phoenix,United States,Toby Braunhardt,Other,2020-06-22,US-2020-133389,85023,SpineVue Locking Slant-D Ring Binders by Cardinal,West,Consumer,2020-06-22,Same Day,Arizona,Binders,0.7,-6.0324,3,8.226,-0.73,0
Office Supplies,Minneapolis,United States,Dianna Vittorini,Office Impressions,2020-06-22,US-2020-124646,55407,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Central,Consumer,2020-06-24,First Class,Minnesota,Storage,No discount,0.0,3,501.81,0.0,2
Technology,Louisville,United States,Joel Eaton,KeyTronic,2020-06-22,US-2020-142048,80027,KeyTronic 6101 Series - Keyboard - Black,West,Consumer,2020-06-25,First Class,Colorado,Accessories,0.2,56.5662,6,196.752,0.29,3
Office Supplies,Concord,United States,Denise Leinenbach,Prang,2020-06-23,US-2020-130358,28027,Prang Drawing Pencil Set,South,Consumer,2020-06-26,First Class,North Carolina,Art,0.2,1.7514,9,20.016,0.09,3
Technology,Philadelphia,United States,Brian Stugart,Sony,2020-06-23,US-2020-126032,19143,Sony 64GB Class 10 Micro SDHC R40 Memory Card,East,Consumer,2020-06-28,Standard Class,Pennsylvania,Accessories,0.2,1.0797,3,86.376,0.01,5
Furniture,Tucson,United States,Liz Pelletier,Other,2020-06-24,US-2020-159814,85705,Acrylic Self-Standing Desk Frames,West,Consumer,2020-06-28,Standard Class,Arizona,Furnishings,0.2,0.9612,2,4.272,0.22,4
Furniture,Los Angeles,United States,Noel Staavos,Hon,2020-06-25,US-2020-159338,90049,Hon 4060 Series Tables,West,Corporate,2020-06-28,First Class,California,Tables,0.2,11.196,5,447.84,0.02,3
Office Supplies,Salem,United States,Grace Kelly,Hunt,2020-06-25,US-2020-164469,97301,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",West,Corporate,2020-06-27,Second Class,Oregon,Art,0.2,0.8162,1,9.328,0.09,2
Furniture,Southaven,United States,Liz MacKendrick,KI,2020-06-27,US-2020-104283,38671,KI Adjustable-Height Table,South,Consumer,2020-07-01,Standard Class,Mississippi,Tables,No discount,22.3548,1,85.98,0.26,4
Furniture,Philadelphia,United States,Cynthia Arntzen,Global,2020-06-28,US-2020-140858,19140,Global Leather Executive Chair,East,Consumer,2020-07-02,Standard Class,Pennsylvania,Chairs,0.3,0.0,5,1228.465,0.0,4
Office Supplies,Detroit,United States,Rob Williams,Other,2020-06-28,US-2020-156993,48234,Staples,Central,Corporate,2020-07-04,Standard Class,Michigan,Fasteners,No discount,3.04,1,6.08,0.5,6
Office Supplies,Cincinnati,United States,Dan Lawera,Dixon,2020-06-29,US-2020-165974,45231,"Dixon My First Ticonderoga Pencil, #2",East,Consumer,2020-07-06,Standard Class,Ohio,Art,0.2,3.6855,7,32.76,0.11,7
Office Supplies,New York City,United States,Jim Karlsson,Wilson Jones,2020-06-29,US-2020-111773,10024,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",East,Consumer,2020-07-03,Standard Class,New York,Binders,0.2,4.872,3,13.92,0.35,4
Office Supplies,New York City,United States,Cari Schnelling,Sanford,2020-06-30,US-2020-121566,10011,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",East,Consumer,2020-07-06,Standard Class,New York,Art,No discount,2.904,3,6.6,0.44,6
Office Supplies,Los Angeles,United States,Anthony Rawles,BIC,2020-06-30,US-2020-109218,90004,"BIC Brite Liner Highlighters, Chisel Tip",West,Corporate,2020-07-03,Second Class,California,Art,No discount,10.368,5,32.4,0.32,3
Office Supplies,Chicago,United States,Russell Applegate,BIC,2020-06-30,US-2020-123064,60653,BIC Brite Liner Grip Highlighters,Central,Consumer,2020-07-02,First Class,Illinois,Art,0.2,1.64,4,5.248,0.31,2
Office Supplies,New York City,United States,Helen Abelman,GBC,2020-06-30,US-2020-146640,10024,GBC Recycled Regency Composition Covers,East,Consumer,2020-07-05,Standard Class,New York,Binders,0.2,108.7996,7,334.768,0.32,5
Office Supplies,Houston,United States,Michael Stewart,Other,2020-06-30,US-2020-116757,77095,Staples,Central,Corporate,2020-07-04,Standard Class,Texas,Fasteners,0.2,7.1928,6,21.312,0.34,4
Office Supplies,Wilmington,United States,Brian DeCherney,Xerox,2020-06-30,US-2020-152254,28403,Xerox 1913,South,Consumer,2020-06-30,Same Day,North Carolina,Paper,0.2,108.7408,7,310.688,0.35,0
Office Supplies,Deltona,United States,Laurel Workman,Avery,2020-07-01,US-2020-160773,32725,Avery Durable Binders,South,Corporate,2020-07-05,Standard Class,Florida,Binders,0.7,-3.6288,6,5.184,-0.7,4
Office Supplies,Seattle,United States,Dorris liebe,Cardinal,2020-07-01,US-2020-153150,98105,Cardinal Holdit Business Card Pockets,West,Corporate,2020-07-06,Second Class,Washington,Binders,0.2,6.972,5,19.92,0.35,5
Office Supplies,Plainfield,United States,Eric Hoffmann,Dixon,2020-07-02,US-2020-107594,7060,DIXON Ticonderoga Erasable Checking Pencils,East,Consumer,2020-07-06,Standard Class,New Jersey,Art,No discount,2.1762,1,5.58,0.39,4
Office Supplies,Aurora,United States,Katrina Edelman,Fellowes,2020-07-04,US-2020-120096,80013,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,2020-07-07,First Class,Colorado,Appliances,0.2,3.2432,2,32.432,0.1,3
Office Supplies,Richmond,United States,Maxwell Schwartz,Other,2020-07-04,US-2020-138709,23223,Zipper Ring Binder Pockets,South,Consumer,2020-07-09,Standard Class,Virginia,Binders,No discount,7.644,5,15.6,0.49,5
Furniture,Palm Coast,United States,Don Miller,Advantus,2020-07-05,US-2020-103317,32137,Advantus Panel Wall Certificate Holder - 8.5x11,South,Corporate,2020-07-08,First Class,Florida,Furnishings,0.2,5.368,2,19.52,0.28,3
Office Supplies,Knoxville,United States,David Wiener,Newell,2020-07-05,US-2020-152849,37918,Newell 322,South,Corporate,2020-07-12,Standard Class,Tennessee,Art,0.2,0.3822,3,4.368,0.09,7
Office Supplies,Los Angeles,United States,Dennis Pardue,Other,2020-07-05,US-2020-107139,90004,Vinyl Sectional Post Binders,West,Home Office,2020-07-11,Standard Class,California,Binders,0.2,67.86,6,180.96,0.38,6
Office Supplies,Jackson,United States,Michael Chen,Avery,2020-07-05,US-2020-157784,39212,Avery 516,South,Consumer,2020-07-08,First Class,Mississippi,Labels,No discount,6.8714,2,14.62,0.47,3
Office Supplies,Houston,United States,Dan Campbell,Fellowes,2020-07-05,US-2020-160444,77036,Fellowes Bankers Box Stor/Drawer Steel Plus,Central,Consumer,2020-07-05,Same Day,Texas,Storage,0.2,-35.178,11,281.424,-0.12,0
Furniture,El Cajon,United States,Becky Castell,Global,2020-07-06,US-2020-147543,92020,Global Comet Stacking Armless Chair,West,Home Office,2020-07-12,Standard Class,California,Chairs,0.2,47.848,2,478.48,0.1,6
Technology,New York City,United States,Emily Phan,Canon,2020-07-06,US-2020-134278,10011,Canon Imageclass D680 Copier / Fax,East,Consumer,2020-07-08,First Class,New York,Copiers,0.2,174.9975,1,559.992,0.31,2
Furniture,Philadelphia,United States,John Lee,Global,2020-07-07,US-2020-138758,19120,"Global High-Back Leather Tilter, Burgundy",East,Consumer,2020-07-11,Standard Class,Pennsylvania,Chairs,0.3,-46.7362,2,172.186,-0.27,4
Furniture,Buffalo,United States,Michelle Huthwaite,Other,2020-07-08,US-2020-150301,14215,"Situations Contoured Folding Chairs, 4/Set",East,Consumer,2020-07-10,First Class,New York,Chairs,0.1,10.647,1,63.882,0.17,2
Furniture,San Francisco,United States,Ed Braxton,Hon,2020-07-08,US-2020-100090,94122,Hon 2111 Invitation Series Corner Table,West,Corporate,2020-07-12,Standard Class,California,Tables,0.2,-87.9354,3,502.488,-0.18,4
Furniture,San Francisco,United States,Darrin Sayre,Bush,2020-07-09,US-2020-113271,94122,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",West,Home Office,2020-07-14,Standard Class,California,Bookcases,0.15,7.049,1,119.833,0.06,5
Office Supplies,Los Angeles,United States,Gary Hansen,Wilson Jones,2020-07-09,US-2020-114125,90049,Wilson Jones Leather-Like Binders with DublLock Round Rings,West,Home Office,2020-07-13,Standard Class,California,Binders,0.2,14.1426,6,41.904,0.34,4
Office Supplies,Dallas,United States,Brian Moss,Xerox,2020-07-09,US-2020-165379,75217,Xerox 1895,Central,Corporate,2020-07-15,Standard Class,Texas,Paper,0.2,4.485,3,14.352,0.31,6
Furniture,Hackensack,United States,Laura Armstrong,Global,2020-07-11,US-2020-163552,7601,Global Commerce Series High-Back Swivel/Tilt Chairs,East,Corporate,2020-07-15,Standard Class,New Jersey,Chairs,No discount,213.735,3,854.94,0.25,4
Office Supplies,New York City,United States,Mark Hamilton,Newell,2020-07-11,US-2020-133305,10011,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,East,Consumer,2020-07-15,Standard Class,New York,Binders,0.2,6.398,5,18.28,0.35,4
Office Supplies,El Paso,United States,Michael Nguyen,Xerox,2020-07-11,US-2020-123225,79907,Xerox 200,Central,Consumer,2020-07-14,First Class,Texas,Paper,0.2,3.6288,2,10.368,0.35,3
